											
	Phoneme	Substitution	Frequency	% of Total Substitution	Comment		Data for LTC				
	i	None	0	0.0			Phoneme	Substitution	Frequency	% of Total Substitution	overall percentage
	ĩ	i	28	12.4			ĩ	i	28	12.4	
	e	a	1	0.4			ɛ̃	ɛ	20	8.9	
		ɛ	3	1.3			ũ	u	19	8.4	
	ẽ	e	6	2.7							
		ɛ	12	5.3							
		ɛ̃	4	1.8							
	ɛ	e	6	2.7							
	ɛ̃	ɛ	20	8.9							
	ɨ	ə	6	2.7							
		ə̃	3	1.3							
	ɨ̃	ə	7	3.1							
		ə̃	10	4.4							
		ɵ̃	1	0.4							
	ə	ɵ	12	5.3							
		ɨ	4	1.8							
	ə̃	ɨ	8	3.6							
		ə	6	2.7							
		ã	1	0.4							
		o	1	0.4							
	a	ã	8	3.6							
	ã	a	12	5.3							
	u	ũ	3	1.3							
	ũ	u	19	8.4							
	o	ɔ	2	0.9							
	õ	o	7	3.1							
		ɔ̃	2	0.9							
	ɔ	ɔ̃	1	0.4							
	ɔ̃	ɔ	32	14.2							
			225	100.0							
